Pista 0: 
Tempo: 120.0 BPM

Pista 1: DRUM LOOP
  Note_on: Nota: 41, Velocidad: 110, Tiempo: 86400
  Note_on: Nota: 48, Velocidad: 110, Tiempo: 86400
  Note_off: Nota: 48, Velocidad: 0, Tiempo: 86446
  Note_off: Nota: 41, Velocidad: 0, Tiempo: 86457
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 88320
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 88476
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 89040
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 89118
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 89760
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 89838
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 90240
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 90318
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 90960
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 91022
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 91680
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 91758
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 92160
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 92233
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 92880
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 92947
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 93600
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 93684
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 94080
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 94158
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 94800
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 94878
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 95280
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 95336
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 95400
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 95445
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 95520
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 95598
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 96000
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 96079
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 96720
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 96798
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 97440
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 97496
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 97920
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 97998
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 98640
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 98702
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 99360
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 99416
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 99840
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 99902
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 100560
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 100632
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 101280
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 101358
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 101760
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 101822
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 102480
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 102558
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 102960
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 103016
  Note_on: Nota: 48, Velocidad: 110, Tiempo: 103200
  Note_off: Nota: 48, Velocidad: 0, Tiempo: 103250
  Note_on: Nota: 45, Velocidad: 110, Tiempo: 103440
  Note_off: Nota: 45, Velocidad: 0, Tiempo: 103474
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 103680
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 103743
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 104400
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 104477
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 105120
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 105181
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 105600
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 105673
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 106320
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 106398
  Note_on: Nota: 38, Velocidad: 101, Tiempo: 107040
  Note_off: Nota: 38, Velocidad: 0, Tiempo: 107118
  Note_on: Nota: 36, Velocidad: 106, Tiempo: 107520
  Note_off: Nota: 36, Velocidad: 0, Tiempo: 107598
